raceId,number,positionOrder,qualifying_position,podium_finish,year,name,forename,surname,driver_name,points,championship_position
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,12.0,4
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,16.0,3
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,18.0,2
1031,10,7,12,0,2020,Austrian Grand Prix,Pierre,Gasly,Pierre Gasly,25.0,1
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,20
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,18
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,16
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,14
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,12
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,19
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,17
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,15
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,13
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,0.0,11
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,1.0,10
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,2.0,9
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,4.0,8
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,6.0,7
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,8.0,6
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,10.0,5
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,12.0,4
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,16.0,3
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,18.0,2
1031,31,8,14,0,2020,Austrian Grand Prix,Esteban,Ocon,Esteban Ocon,25.0,1
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,20
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,18
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,16
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,14
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,12
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,19
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,17
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,15
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,13
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,0.0,11
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,1.0,10
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,2.0,9
1031,99,9,18,0,2020,Austrian Grand Prix,Adrian,Sutil,Adrian Sutil,4.0,8
